import time: self [us] | cumulative | imported package
import time:      1157 |       1157 |       sqlalchemy.util.typing
import time:      1037 |      94514 |     sqlalchemy.util._collections
import time:      1644 |       1644 |         greenlet._greenlet
import time:      1173 |       2817 |       greenlet
import time:      1767 |       1767 |         sqlalchemy.util.langhelpers
import time:       757 |       2523 |       sqlalchemy.util._concurrency_py3k
import time:       867 |       6207 |     sqlalchemy.util.concurrency
import time:       719 |        719 |     sqlalchemy.util.deprecations
import time:      1187 |     103796 |   sqlalchemy.util
import time:      1047 |       1047 |                     sqlalchemy.event.registry
import time:       910 |       1956 |                   sqlalchemy.event.legacy
import time:      1242 |       3197 |                 sqlalchemy.event.attr
import time:      1266 |       4463 |               sqlalchemy.event.base
import time:      1231 |       5693 |             sqlalchemy.event.api
import time:       874 |       6567 |           sqlalchemy.event
import time:      1000 |       1000 |                 sqlalchemy.log
import time:      1874 |       2873 |               sqlalchemy.pool.base
import time:      1789 |       4662 |             sqlalchemy.pool.events
import time:       902 |        902 |               sqlalchemy.util.queue
import time:       960 |       1861 |             sqlalchemy.pool.impl
import time:       943 |       7465 |           sqlalchemy.pool
import time:      1212 |       1212 |                 sqlalchemy.sql.roles
import time:       966 |        966 |                 sqlalchemy.inspection
import time:      2384 |       4560 |               sqlalchemy.sql._typing
import time:      1539 |       1539 |                 sqlalchemy.sql.visitors
import time:      1456 |       1456 |                 sqlalchemy.sql.cache_key
import time:      1230 |       1230 |                   sqlalchemy.sql.operators
import time:      1128 |       2357 |                 sqlalchemy.sql.traversals
import time:      2406 |       7757 |               sqlalchemy.sql.base
import time:      1483 |       1483 |                 sqlalchemy.sql.coercions
import time:      1153 |       1153 |                       sqlalchemy.sql.annotation
import time:      1916 |       1916 |                           sqlalchemy.sql.type_api
import time:      4182 |       6098 |                         sqlalchemy.sql.elements
import time:      1194 |       1194 |                         sqlalchemy.util.topological
import time:      2214 |       9505 |                       sqlalchemy.sql.ddl
import time:       994 |        994 |                               sqlalchemy.engine._py_processors
import time:      1011 |       2005 |                             sqlalchemy.engine.processors
import time:      2995 |       4999 |                           sqlalchemy.sql.sqltypes
import time:      6412 |      11411 |                         sqlalchemy.sql.selectable
import time:      5363 |      16773 |                       sqlalchemy.sql.schema
import time:      1411 |      28842 |                     sqlalchemy.sql.util
import time:      2018 |      30860 |                   sqlalchemy.sql.dml
import time:      1506 |      32365 |                 sqlalchemy.sql.crud
import time:      3033 |       3033 |                 sqlalchemy.sql.functions
import time:      4383 |      41262 |               sqlalchemy.sql.compiler
import time:       768 |        768 |                 sqlalchemy.sql._dml_constructors
import time:       896 |        896 |                 sqlalchemy.sql._elements_constructors
import time:       896 |        896 |                 sqlalchemy.sql._selectable_constructors
import time:      2165 |       2165 |                 sqlalchemy.sql.lambdas
import time:      1217 |       5941 |               sqlalchemy.sql.expression
import time:      1153 |       1153 |                 sqlalchemy.sql.events
import time:      1083 |       2235 |               sqlalchemy.sql.naming
